Date,Merchant,Amount,Category,Description
2025-01-04,Airtel,-2281.02,Bills and Utilities,Purchase at Airtel
2025-01-04,Gym Membership,-3156.59,Health and Fitness,Purchase at Gym Membership
2025-01-05,Ola,-1596.0,Transportation,Purchase at Ola
2025-01-07,Salary Credit,58328.0,Income,Monthly Salary Credit
2025-01-08,Swiggy,-1329.78,Food and Dining,Purchase at Swiggy
2025-01-10,Starbucks,-426.8,Food and Dining,Purchase at Starbucks
2025-01-12,Amazon Prime,-1604.65,Entertainment,Purchase at Amazon Prime
2025-01-12,School Fees,-6069.63,Education,Purchase at School Fees
2025-01-13,Big Bazaar,-3762.97,Shopping,Purchase at Big Bazaar
2025-01-14,Uber,-1291.81,Transportation,Purchase at Uber
2025-01-14,Gym Membership,-2149.03,Health and Fitness,Purchase at Gym Membership
2025-01-16,BookMyShow,-1270.23,Entertainment,Purchase at BookMyShow
2025-01-19,Book Store,-14555.3,Education,Purchase at Book Store
2025-01-20,Petrol Pump,-579.53,Transportation,Purchase at Petrol Pump
2025-01-21,Coursera,-12173.28,Education,Purchase at Coursera
2025-01-22,Medical Store,-4535.54,Health and Fitness,Purchase at Medical Store
2025-01-23,Netflix,-322.56,Entertainment,Purchase at Netflix
2025-01-23,Flipkart,-4915.97,Shopping,Purchase at Flipkart
2025-01-24,Medical Store,-4940.51,Health and Fitness,Purchase at Medical Store
2025-01-24,McDonald's,-1654.83,Food and Dining,Purchase at McDonald's
2025-01-25,Dominos,-1895.93,Food and Dining,Purchase at Dominos
2025-01-27,Water Supply,-3758.4,Bills and Utilities,Purchase at Water Supply
2025-01-27,Book Store,-576.19,Education,Purchase at Book Store
2025-01-27,Book Store,-10700.37,Education,Purchase at Book Store
2025-01-28,Petrol Pump,-468.27,Transportation,Purchase at Petrol Pump
2025-01-29,Ola,-613.22,Transportation,Purchase at Ola
2025-01-30,Indian Railways,-970.02,Transportation,Purchase at Indian Railways
2025-01-31,Book Store,-7482.64,Education,Purchase at Book Store
2025-02-02,BookMyShow,-600.21,Entertainment,Purchase at BookMyShow
2025-02-03,Spotify,-750.37,Entertainment,Purchase at Spotify
2025-02-03,Airtel,-2978.86,Bills and Utilities,Purchase at Airtel
2025-02-04,Starbucks,-1846.49,Food and Dining,Purchase at Starbucks
2025-02-04,Amazon Prime,-1326.38,Entertainment,Purchase at Amazon Prime
2025-02-05,D-Mart,-3416.37,Shopping,Purchase at D-Mart
2025-02-06,Medical Store,-4894.66,Health and Fitness,Purchase at Medical Store
2025-02-06,Book Store,-14027.53,Education,Purchase at Book Store
2025-02-07,Salary Credit,58328.0,Income,Monthly Salary Credit
2025-02-08,Tata Power,-1831.81,Bills and Utilities,Purchase at Tata Power
2025-02-08,Petrol Pump,-1970.81,Transportation,Purchase at Petrol Pump
2025-02-09,Big Bazaar,-833.35,Shopping,Purchase at Big Bazaar
2025-02-10,Jio,-1188.3,Bills and Utilities,Purchase at Jio
2025-02-14,Reliance Retail,-2081.57,Shopping,Purchase at Reliance Retail
2025-02-17,Indian Railways,-953.34,Transportation,Purchase at Indian Railways
2025-02-18,Jio,-2418.24,Bills and Utilities,Purchase at Jio
2025-02-20,Electricity Board,-707.91,Bills and Utilities,Purchase at Electricity Board
2025-02-20,Gym Membership,-4431.66,Health and Fitness,Purchase at Gym Membership
2025-02-21,Ola,-2938.92,Transportation,Purchase at Ola
2025-02-21,Book Store,-1149.97,Education,Purchase at Book Store
2025-02-21,BookMyShow,-1859.52,Entertainment,Purchase at BookMyShow
2025-02-22,Ola,-2863.97,Transportation,Purchase at Ola
2025-02-23,Flipkart,-4053.32,Shopping,Purchase at Flipkart
2025-02-24,Diagnostic Center,-3893.86,Health and Fitness,Purchase at Diagnostic Center
2025-02-25,Spotify,-1946.84,Entertainment,Purchase at Spotify
2025-02-26,Tata Power,-4853.86,Bills and Utilities,Purchase at Tata Power
2025-02-26,Swiggy,-754.3,Food and Dining,Purchase at Swiggy
2025-02-27,Apollo Pharmacy,-1280.08,Health and Fitness,Purchase at Apollo Pharmacy
2025-02-28,Water Supply,-3290.44,Bills and Utilities,Purchase at Water Supply
2025-02-28,School Fees,-1242.84,Education,Purchase at School Fees
2025-02-28,Gym Membership,-1743.34,Health and Fitness,Purchase at Gym Membership
2025-03-01,BookMyShow,-821.22,Entertainment,Purchase at BookMyShow
2025-03-02,Apollo Pharmacy,-2650.71,Health and Fitness,Purchase at Apollo Pharmacy
2025-03-04,BookMyShow,-831.17,Entertainment,Purchase at BookMyShow
2025-03-04,Ola,-2555.72,Transportation,Purchase at Ola
2025-03-04,Ola,-1706.77,Transportation,Purchase at Ola
2025-03-05,Indian Railways,-953.96,Transportation,Purchase at Indian Railways
2025-03-06,Metro Card Recharge,-340.26,Transportation,Purchase at Metro Card Recharge
2025-03-07,Salary Credit,58328.0,Income,Monthly Salary Credit
2025-03-07,Myntra,-1285.28,Shopping,Purchase at Myntra
2025-03-08,Petrol Pump,-175.31,Transportation,Purchase at Petrol Pump
2025-03-10,Starbucks,-1009.3,Food and Dining,Purchase at Starbucks
2025-03-13,Udemy,-10047.82,Education,Purchase at Udemy
2025-03-13,Udemy,-7158.01,Education,Purchase at Udemy
2025-03-15,Ola,-1026.24,Transportation,Purchase at Ola
2025-03-17,Dominos,-1838.62,Food and Dining,Purchase at Dominos
2025-03-17,D-Mart,-2104.36,Shopping,Purchase at D-Mart
2025-03-19,Medical Store,-3219.97,Health and Fitness,Purchase at Medical Store
2025-03-20,Electricity Board,-4928.94,Bills and Utilities,Purchase at Electricity Board
2025-03-21,Ola,-781.79,Transportation,Purchase at Ola
2025-03-22,Gym Membership,-2409.08,Health and Fitness,Purchase at Gym Membership
2025-03-22,Udemy,-8620.55,Education,Purchase at Udemy
2025-03-23,Medical Store,-1504.95,Health and Fitness,Purchase at Medical Store
2025-03-23,McDonald's,-1656.97,Food and Dining,Purchase at McDonald's
2025-03-23,Coursera,-9009.07,Education,Purchase at Coursera
2025-03-23,School Fees,-512.28,Education,Purchase at School Fees
2025-03-24,Starbucks,-1349.93,Food and Dining,Purchase at Starbucks
2025-03-24,Metro Card Recharge,-1128.96,Transportation,Purchase at Metro Card Recharge
2025-03-24,Ola,-725.63,Transportation,Purchase at Ola
2025-03-25,Apollo Pharmacy,-899.81,Health and Fitness,Purchase at Apollo Pharmacy
2025-03-25,Apollo Pharmacy,-1349.2,Health and Fitness,Purchase at Apollo Pharmacy
2025-03-26,Udemy,-2782.68,Education,Purchase at Udemy
2025-03-28,Metro Card Recharge,-1823.17,Transportation,Purchase at Metro Card Recharge
2025-03-29,Swiggy,-242.6,Food and Dining,Purchase at Swiggy
2025-03-31,Tata Power,-1124.57,Bills and Utilities,Purchase at Tata Power
2025-04-01,Indian Railways,-382.25,Transportation,Purchase at Indian Railways
2025-04-01,Indian Railways,-1614.46,Transportation,Purchase at Indian Railways
2025-04-03,Water Supply,-3591.47,Bills and Utilities,Purchase at Water Supply
2025-04-03,School Fees,-6455.43,Education,Purchase at School Fees
2025-04-04,Medical Store,-709.45,Health and Fitness,Purchase at Medical Store
2025-04-06,Dominos,-1677.67,Food and Dining,Purchase at Dominos
2025-04-06,Jio,-1895.36,Bills and Utilities,Purchase at Jio
2025-04-07,Salary Credit,58328.0,Income,Monthly Salary Credit
2025-04-10,McDonald's,-445.13,Food and Dining,Purchase at McDonald's
2025-04-11,Gym Membership,-1687.55,Health and Fitness,Purchase at Gym Membership
2025-04-13,Diagnostic Center,-4698.2,Health and Fitness,Purchase at Diagnostic Center
2025-04-13,Swiggy,-264.68,Food and Dining,Purchase at Swiggy
2025-04-15,Water Supply,-2565.24,Bills and Utilities,Purchase at Water Supply
2025-04-17,Ola,-459.84,Transportation,Purchase at Ola
2025-04-19,Medical Store,-3098.43,Health and Fitness,Purchase at Medical Store
2025-04-20,Netflix,-1821.14,Entertainment,Purchase at Netflix
2025-04-21,D-Mart,-3387.8,Shopping,Purchase at D-Mart
2025-04-21,Food Panda,-214.05,Food and Dining,Purchase at Food Panda
2025-04-22,Stationary Shop,-11264.81,Education,Purchase at Stationary Shop
2025-04-22,McDonald's,-542.39,Food and Dining,Purchase at McDonald's
2025-04-23,Big Bazaar,-3161.03,Shopping,Purchase at Big Bazaar
2025-04-24,Medical Store,-1723.47,Health and Fitness,Purchase at Medical Store
2025-04-25,Jio,-4599.01,Bills and Utilities,Purchase at Jio
2025-04-25,Ola,-964.51,Transportation,Purchase at Ola
2025-04-25,Coursera,-3621.55,Education,Purchase at Coursera
2025-04-25,Book Store,-6347.07,Education,Purchase at Book Store
2025-04-27,Diagnostic Center,-4148.31,Health and Fitness,Purchase at Diagnostic Center
2025-04-27,Starbucks,-1073.24,Food and Dining,Purchase at Starbucks
2025-04-28,Myntra,-1870.72,Shopping,Purchase at Myntra
2025-04-28,PVR Cinemas,-570.58,Entertainment,Purchase at PVR Cinemas
2025-04-29,Indian Railways,-1506.3,Transportation,Purchase at Indian Railways
2025-04-30,Uber,-116.6,Transportation,Purchase at Uber
2025-05-03,Metro Card Recharge,-1987.44,Transportation,Purchase at Metro Card Recharge
2025-05-03,Medical Store,-4688.11,Health and Fitness,Purchase at Medical Store
2025-05-03,Reliance Retail,-4497.27,Shopping,Purchase at Reliance Retail
2025-05-03,BookMyShow,-1592.55,Entertainment,Purchase at BookMyShow
2025-05-06,Amazon Prime,-1645.88,Entertainment,Purchase at Amazon Prime
2025-05-06,Starbucks,-368.58,Food and Dining,Purchase at Starbucks
2025-05-07,Salary Credit,58328.0,Income,Monthly Salary Credit
2025-05-07,Swiggy,-579.6,Food and Dining,Purchase at Swiggy
2025-05-08,Coursera,-6432.35,Education,Purchase at Coursera
2025-05-08,Dominos,-1503.88,Food and Dining,Purchase at Dominos
2025-05-09,Jio,-4751.91,Bills and Utilities,Purchase at Jio
2025-05-09,Flipkart,-3249.55,Shopping,Purchase at Flipkart
2025-05-10,Medical Store,-2427.63,Health and Fitness,Purchase at Medical Store
2025-05-11,Electricity Board,-3923.5,Bills and Utilities,Purchase at Electricity Board
2025-05-12,Medical Store,-1430.77,Health and Fitness,Purchase at Medical Store
2025-05-12,Amazon Prime,-1534.16,Entertainment,Purchase at Amazon Prime
2025-05-13,Flipkart,-886.49,Shopping,Purchase at Flipkart
2025-05-15,Netflix,-1504.51,Entertainment,Purchase at Netflix
2025-05-16,Uber,-2966.9,Transportation,Purchase at Uber
2025-05-20,D-Mart,-1795.37,Shopping,Purchase at D-Mart
2025-05-21,Gym Membership,-2738.12,Health and Fitness,Purchase at Gym Membership
2025-05-21,Reliance Retail,-3711.96,Shopping,Purchase at Reliance Retail
2025-05-21,D-Mart,-2112.14,Shopping,Purchase at D-Mart
2025-05-23,McDonald's,-1914.59,Food and Dining,Purchase at McDonald's
2025-05-24,Apollo Pharmacy,-1358.54,Health and Fitness,Purchase at Apollo Pharmacy
2025-05-25,PVR Cinemas,-1288.12,Entertainment,Purchase at PVR Cinemas
2025-05-25,Udemy,-14076.93,Education,Purchase at Udemy
2025-05-26,Amazon Prime,-1098.12,Entertainment,Purchase at Amazon Prime
2025-05-26,Tata Power,-3680.29,Bills and Utilities,Purchase at Tata Power
2025-05-26,Petrol Pump,-1649.79,Transportation,Purchase at Petrol Pump
2025-05-27,Petrol Pump,-2648.66,Transportation,Purchase at Petrol Pump
2025-05-29,Zomato,-796.29,Food and Dining,Purchase at Zomato
2025-05-31,Tata Power,-3609.26,Bills and Utilities,Purchase at Tata Power
2025-06-02,Myntra,-4669.08,Shopping,Purchase at Myntra
2025-06-02,Petrol Pump,-130.67,Transportation,Purchase at Petrol Pump
2025-06-02,Netflix,-1161.25,Entertainment,Purchase at Netflix
2025-06-05,Tata Power,-3519.31,Bills and Utilities,Purchase at Tata Power
2025-06-06,Medical Store,-737.82,Health and Fitness,Purchase at Medical Store
2025-06-06,BSNL,-1021.99,Bills and Utilities,Purchase at BSNL
2025-06-07,Salary Credit,58328.0,Income,Monthly Salary Credit
2025-06-07,Diagnostic Center,-4811.06,Health and Fitness,Purchase at Diagnostic Center
2025-06-08,Airtel,-1799.82,Bills and Utilities,Purchase at Airtel
2025-06-09,Netflix,-1921.57,Entertainment,Purchase at Netflix
2025-06-09,BSNL,-1805.22,Bills and Utilities,Purchase at BSNL
2025-06-10,Diagnostic Center,-4566.86,Health and Fitness,Purchase at Diagnostic Center
2025-06-14,Spotify,-1424.56,Entertainment,Purchase at Spotify
2025-06-14,BSNL,-4307.28,Bills and Utilities,Purchase at BSNL
2025-06-16,Ola,-2079.11,Transportation,Purchase at Ola
2025-06-18,Amazon,-1690.52,Shopping,Purchase at Amazon
2025-06-18,Jio,-4057.69,Bills and Utilities,Purchase at Jio
2025-06-19,Medical Store,-4048.01,Health and Fitness,Purchase at Medical Store
2025-06-19,BookMyShow,-1111.51,Entertainment,Purchase at BookMyShow
2025-06-20,Amazon Prime,-1623.08,Entertainment,Purchase at Amazon Prime
2025-06-21,McDonald's,-344.61,Food and Dining,Purchase at McDonald's
2025-06-22,D-Mart,-4115.0,Shopping,Purchase at D-Mart
2025-06-22,Dominos,-1329.03,Food and Dining,Purchase at Dominos
2025-06-22,Medical Store,-3409.64,Health and Fitness,Purchase at Medical Store
2025-06-23,Gym Membership,-3371.07,Health and Fitness,Purchase at Gym Membership
2025-06-23,Coursera,-8277.35,Education,Purchase at Coursera
2025-06-24,Petrol Pump,-122.99,Transportation,Purchase at Petrol Pump
2025-06-24,Flipkart,-1621.57,Shopping,Purchase at Flipkart
2025-06-25,Indian Railways,-2139.3,Transportation,Purchase at Indian Railways
2025-06-25,Myntra,-3086.53,Shopping,Purchase at Myntra
2025-06-27,Petrol Pump,-1546.81,Transportation,Purchase at Petrol Pump
2025-06-27,Medical Store,-1622.45,Health and Fitness,Purchase at Medical Store
2025-06-27,Reliance Retail,-3565.41,Shopping,Purchase at Reliance Retail
2025-06-27,Food Panda,-1328.15,Food and Dining,Purchase at Food Panda
2025-06-29,Diagnostic Center,-4729.36,Health and Fitness,Purchase at Diagnostic Center
2025-06-29,Apollo Pharmacy,-4705.07,Health and Fitness,Purchase at Apollo Pharmacy
2025-06-30,Electricity Board,-614.82,Bills and Utilities,Purchase at Electricity Board
2025-07-02,Stationary Shop,-2782.21,Education,Purchase at Stationary Shop
2025-07-03,Stationary Shop,-2695.87,Education,Purchase at Stationary Shop
2025-07-06,Water Supply,-4158.46,Bills and Utilities,Purchase at Water Supply
2025-07-06,Swiggy,-1095.94,Food and Dining,Purchase at Swiggy
2025-07-07,Salary Credit,58328.0,Income,Monthly Salary Credit
2025-07-10,PVR Cinemas,-294.46,Entertainment,Purchase at PVR Cinemas
2025-07-10,BookMyShow,-716.99,Entertainment,Purchase at BookMyShow
2025-07-11,Starbucks,-667.08,Food and Dining,Purchase at Starbucks
2025-07-11,Metro Card Recharge,-519.75,Transportation,Purchase at Metro Card Recharge
2025-07-12,Netflix,-1877.58,Entertainment,Purchase at Netflix
2025-07-12,Amazon Prime,-1978.6,Entertainment,Purchase at Amazon Prime
2025-07-13,Udemy,-4300.47,Education,Purchase at Udemy
2025-07-14,BookMyShow,-414.95,Entertainment,Purchase at BookMyShow
2025-07-14,Stationary Shop,-9464.39,Education,Purchase at Stationary Shop
2025-07-16,Udemy,-10380.9,Education,Purchase at Udemy
2025-07-19,School Fees,-9931.65,Education,Purchase at School Fees
2025-07-20,Gym Membership,-4876.63,Health and Fitness,Purchase at Gym Membership
2025-07-21,Amazon Prime,-1464.28,Entertainment,Purchase at Amazon Prime
2025-07-21,BSNL,-4840.81,Bills and Utilities,Purchase at BSNL
2025-07-28,Diagnostic Center,-2576.42,Health and Fitness,Purchase at Diagnostic Center
2025-07-28,Metro Card Recharge,-566.11,Transportation,Purchase at Metro Card Recharge
2025-07-28,Book Store,-3376.37,Education,Purchase at Book Store
2025-07-30,Stationary Shop,-2078.27,Education,Purchase at Stationary Shop
2025-07-30,Medical Store,-4260.98,Health and Fitness,Purchase at Medical Store
2025-08-01,BSNL,-732.92,Bills and Utilities,Purchase at BSNL
2025-08-03,Netflix,-1812.42,Entertainment,Purchase at Netflix
2025-08-04,Diagnostic Center,-4818.72,Health and Fitness,Purchase at Diagnostic Center
2025-08-05,Spotify,-1691.59,Entertainment,Purchase at Spotify
2025-08-05,Airtel,-716.94,Bills and Utilities,Purchase at Airtel
2025-08-05,Apollo Pharmacy,-4118.23,Health and Fitness,Purchase at Apollo Pharmacy
2025-08-06,McDonald's,-1932.79,Food and Dining,Purchase at McDonald's
2025-08-07,Gym Membership,-1323.55,Health and Fitness,Purchase at Gym Membership
2025-08-07,Salary Credit,58328.0,Income,Monthly Salary Credit
2025-08-08,Reliance Retail,-2675.47,Shopping,Purchase at Reliance Retail
2025-08-09,Medical Store,-4072.12,Health and Fitness,Purchase at Medical Store
2025-08-09,Food Panda,-1883.77,Food and Dining,Purchase at Food Panda
2025-08-11,Diagnostic Center,-2966.18,Health and Fitness,Purchase at Diagnostic Center
2025-08-12,Big Bazaar,-1885.38,Shopping,Purchase at Big Bazaar
2025-08-13,Gym Membership,-2205.03,Health and Fitness,Purchase at Gym Membership
2025-08-14,D-Mart,-2823.73,Shopping,Purchase at D-Mart
2025-08-16,Netflix,-1780.34,Entertainment,Purchase at Netflix
2025-08-17,Amazon,-2699.64,Shopping,Purchase at Amazon
2025-08-18,Swiggy,-1965.71,Food and Dining,Purchase at Swiggy
2025-08-18,Big Bazaar,-2206.16,Shopping,Purchase at Big Bazaar
2025-08-18,Ola,-914.36,Transportation,Purchase at Ola
2025-08-20,McDonald's,-1107.91,Food and Dining,Purchase at McDonald's
2025-08-20,Food Panda,-1099.07,Food and Dining,Purchase at Food Panda
2025-08-22,Udemy,-14163.46,Education,Purchase at Udemy
2025-08-22,Indian Railways,-2972.68,Transportation,Purchase at Indian Railways
2025-08-26,Metro Card Recharge,-1763.78,Transportation,Purchase at Metro Card Recharge
2025-08-28,Indian Railways,-384.38,Transportation,Purchase at Indian Railways
2025-08-28,Gym Membership,-713.96,Health and Fitness,Purchase at Gym Membership
2025-08-29,Electricity Board,-3273.65,Bills and Utilities,Purchase at Electricity Board
2025-08-29,Reliance Retail,-958.99,Shopping,Purchase at Reliance Retail
2025-08-29,BSNL,-4634.78,Bills and Utilities,Purchase at BSNL
2025-08-31,Petrol Pump,-200.97,Transportation,Purchase at Petrol Pump
2025-08-31,Reliance Retail,-863.07,Shopping,Purchase at Reliance Retail
2025-08-31,BookMyShow,-1055.43,Entertainment,Purchase at BookMyShow
2025-09-01,Udemy,-12623.43,Education,Purchase at Udemy
2025-09-01,Medical Store,-3866.46,Health and Fitness,Purchase at Medical Store
2025-09-02,Gym Membership,-2570.5,Health and Fitness,Purchase at Gym Membership
2025-09-02,Apollo Pharmacy,-3031.09,Health and Fitness,Purchase at Apollo Pharmacy
2025-09-05,Gym Membership,-647.94,Health and Fitness,Purchase at Gym Membership
2025-09-05,Zomato,-1506.65,Food and Dining,Purchase at Zomato
2025-09-05,Dominos,-306.55,Food and Dining,Purchase at Dominos
2025-09-06,Swiggy,-570.23,Food and Dining,Purchase at Swiggy
2025-09-07,Zomato,-1719.18,Food and Dining,Purchase at Zomato
2025-09-07,Salary Credit,58328.0,Income,Monthly Salary Credit
2025-09-07,Water Supply,-4888.14,Bills and Utilities,Purchase at Water Supply
2025-09-07,Coursera,-11357.76,Education,Purchase at Coursera
2025-09-08,Airtel,-2035.31,Bills and Utilities,Purchase at Airtel
2025-09-08,Spotify,-1409.28,Entertainment,Purchase at Spotify
2025-09-09,Tata Power,-3717.71,Bills and Utilities,Purchase at Tata Power
2025-09-09,Big Bazaar,-2347.68,Shopping,Purchase at Big Bazaar
2025-09-10,Petrol Pump,-562.49,Transportation,Purchase at Petrol Pump
2025-09-12,Flipkart,-2021.58,Shopping,Purchase at Flipkart
2025-09-12,Diagnostic Center,-4429.92,Health and Fitness,Purchase at Diagnostic Center
2025-09-12,BSNL,-2521.67,Bills and Utilities,Purchase at BSNL
2025-09-13,Swiggy,-1417.14,Food and Dining,Purchase at Swiggy
2025-09-15,Metro Card Recharge,-1475.9,Transportation,Purchase at Metro Card Recharge
2025-09-16,BookMyShow,-717.01,Entertainment,Purchase at BookMyShow
2025-09-16,Electricity Board,-4356.16,Bills and Utilities,Purchase at Electricity Board
2025-09-17,Udemy,-9674.83,Education,Purchase at Udemy
2025-09-21,Tata Power,-3226.33,Bills and Utilities,Purchase at Tata Power
2025-09-22,BookMyShow,-1712.19,Entertainment,Purchase at BookMyShow
2025-09-23,Book Store,-11199.4,Education,Purchase at Book Store
2025-09-23,Electricity Board,-1861.69,Bills and Utilities,Purchase at Electricity Board
2025-09-24,Water Supply,-1920.45,Bills and Utilities,Purchase at Water Supply
2025-09-24,Petrol Pump,-958.42,Transportation,Purchase at Petrol Pump
2025-09-25,Stationary Shop,-5373.38,Education,Purchase at Stationary Shop
2025-09-25,Ola,-2586.7,Transportation,Purchase at Ola
2025-09-26,Apollo Pharmacy,-2344.17,Health and Fitness,Purchase at Apollo Pharmacy
2025-09-27,Medical Store,-803.69,Health and Fitness,Purchase at Medical Store
2025-09-28,Gym Membership,-2971.81,Health and Fitness,Purchase at Gym Membership
2025-09-28,D-Mart,-3881.33,Shopping,Purchase at D-Mart
2025-09-29,Petrol Pump,-1989.93,Transportation,Purchase at Petrol Pump
2025-09-29,McDonald's,-740.05,Food and Dining,Purchase at McDonald's
2025-10-01,Jio,-894.61,Bills and Utilities,Purchase at Jio
2025-10-01,Food Panda,-1621.47,Food and Dining,Purchase at Food Panda
2025-10-01,Amazon,-1999.01,Shopping,Purchase at Amazon
2025-10-02,McDonald's,-465.37,Food and Dining,Purchase at McDonald's
2025-10-03,Diagnostic Center,-4405.83,Health and Fitness,Purchase at Diagnostic Center
2025-10-03,Swiggy,-464.22,Food and Dining,Purchase at Swiggy
2025-10-04,Jio,-3479.35,Bills and Utilities,Purchase at Jio
2025-10-04,BSNL,-1204.54,Bills and Utilities,Purchase at BSNL
2025-10-04,Flipkart,-3013.13,Shopping,Purchase at Flipkart
2025-10-07,Salary Credit,58328.0,Income,Monthly Salary Credit
2025-10-09,Amazon Prime,-1490.37,Entertainment,Purchase at Amazon Prime
2025-10-13,Coursera,-5502.72,Education,Purchase at Coursera
2025-10-14,Netflix,-795.42,Entertainment,Purchase at Netflix
2025-10-18,BSNL,-1627.22,Bills and Utilities,Purchase at BSNL
2025-10-20,Metro Card Recharge,-712.59,Transportation,Purchase at Metro Card Recharge
2025-10-21,Uber,-212.87,Transportation,Purchase at Uber
2025-10-21,Electricity Board,-997.6,Bills and Utilities,Purchase at Electricity Board
2025-10-21,Food Panda,-802.8,Food and Dining,Purchase at Food Panda
2025-10-25,Spotify,-824.54,Entertainment,Purchase at Spotify
2025-10-28,PVR Cinemas,-1590.25,Entertainment,Purchase at PVR Cinemas
2025-10-29,Jio,-2687.01,Bills and Utilities,Purchase at Jio
2025-10-29,Jio,-1791.96,Bills and Utilities,Purchase at Jio
2025-10-31,BookMyShow,-671.29,Entertainment,Purchase at BookMyShow
2025-10-31,Dominos,-773.58,Food and Dining,Purchase at Dominos
2025-11-02,Book Store,-9444.07,Education,Purchase at Book Store
2025-11-04,Amazon Prime,-358.97,Entertainment,Purchase at Amazon Prime
2025-11-04,Myntra,-993.21,Shopping,Purchase at Myntra
